District_Name,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer
Kolhapur,75,50,100,6.5,1000,20,Sugarcane,Urea
Kolhapur,80,50,100,6.5,1000,20,Sugarcane,Urea
Kolhapur,85,50,100,6.5,1000,20,Sugarcane,Urea
Kolhapur,90,50,100,6.5,1000,20,Sugarcane,Urea
Kolhapur,95,50,100,6.5,1000,20,Sugarcane,Urea
Kolhapur,100,50,100,6.5,1000,20,Sugarcane,Urea
Kolhapur,75,55,105,7,1100,25,Sugarcane,Urea
Kolhapur,80,55,105,7,1100,25,Sugarcane,Urea
Kolhapur,85,55,105,7,1100,25,Sugarcane,Urea
Kolhapur,90,55,105,7,1100,25,Sugarcane,Urea
Kolhapur,95,55,105,7,1100,25,Sugarcane,Urea
Kolhapur,100,55,105,7,1100,25,Sugarcane,Urea
Kolhapur,75,60,110,7.5,1200,30,Sugarcane,Urea
Kolhapur,80,60,110,7.5,1200,30,Sugarcane,Urea
Kolhapur,85,60,110,7.5,1200,30,Sugarcane,Urea
Kolhapur,90,60,110,7.5,1200,30,Sugarcane,Urea
Kolhapur,95,60,110,7.5,1200,30,Sugarcane,Urea
Kolhapur,100,60,110,7.5,1200,30,Sugarcane,Urea
Kolhapur,75,50,115,6.5,1300,35,Sugarcane,Urea
Kolhapur,80,50,115,6.5,1300,35,Sugarcane,Urea
Kolhapur,85,50,115,6.5,1300,35,Sugarcane,Urea
Kolhapur,90,50,115,6.5,1300,35,Sugarcane,Urea
Kolhapur,95,50,115,6.5,1300,35,Sugarcane,Urea
Kolhapur,100,50,115,6.5,1300,35,Sugarcane,Urea
Kolhapur,75,55,100,7,1400,20,Sugarcane,DAP
Kolhapur,80,55,100,7,1400,20,Sugarcane,DAP
Kolhapur,85,55,100,7,1400,20,Sugarcane,DAP
Kolhapur,90,55,100,7,1400,20,Sugarcane,DAP
Kolhapur,95,55,100,7,1400,20,Sugarcane,DAP
Kolhapur,100,55,100,7,1400,20,Sugarcane,DAP
Kolhapur,75,60,105,7.5,1500,25,Sugarcane,DAP
Kolhapur,80,60,105,7.5,1500,25,Sugarcane,DAP
Kolhapur,85,60,105,7.5,1500,25,Sugarcane,DAP
Kolhapur,90,60,105,7.5,1500,25,Sugarcane,DAP
